"ID","MDS1","MDS2","mouse","challengeday","week","sampletype","treatment","sex","cage","Lg","La"
"237-1-d0-No-fe",-0.0224713978338064,0.306043605873144,1,"day0","Week 1","feces","cef","M",237,"none","none"
"237-2-d0-No-fe",0.0537860281769357,-0.0221929704976861,2,"day0","Week 1","feces","cef","M",237,"none","none"
"237-3-d0-No-fe",0.0532101670654057,-1.69655781972474e-05,3,"day0","Week 1","feces","cef","M",237,"none","none"
"237-4-d0-No-fe",0.0537886877145561,-0.0224953687395548,4,"day0","Week 1","feces","cef","M",237,"none","none"
"238-1-d0-Cd-fe",0.0537825257073829,-0.0217573614626617,1,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-2-d0-Cd-fe",0.0537711009625916,-0.0209659244634749,2,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-3-d0-Cd-fe",0.0537535539605781,-0.0196593223916283,3,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"238-4-d0-Cd-fe",0.0537697661839726,-0.0209252230766826,4,"day0","Week 1","feces","cdiff","M",238,"negative","negative"
"239-1-d0-La-fe",0.0537842381746523,-0.0221909255102955,1,"day0","Week 1","feces","la","M",239,"none","positive"
"239-2-d0-La-fe",0.0537860271140487,-0.0224764563507391,2,"day0","Week 1","feces","la","M",239,"none","positive"
"239-3-d0-La-fe",0.0537881408098171,-0.0223753961435619,3,"day0","Week 1","feces","la","M",239,"none","positive"
"239-4-d0-La-fe",0.0537096676163306,-0.0180908024974913,4,"day0","Week 1","feces","la","M",239,"none","positive"
"240-1-d0-Lg-fe",-0.729760379874368,-0.0297803825888166,1,"day0","Week 1","feces","lg","M",240,"positive","none"
"240-2-d0-Lg-fe",0.0537371621570669,-0.0191207021320294,2,"day0","Week 1","feces","lg","M",240,"positive","none"
"240-3-d0-Lg-fe",0.0537861189080409,-0.0222375875721861,3,"day0","Week 1","feces","lg","M",240,"positive","none"
"240-4-d0-Lg-fe",0.0537785931567952,-0.0217582168681384,4,"day0","Week 1","feces","lg","M",240,"positive","none"
"241-1-d7-No-fe",-0.753552025789369,0.199238045024106,1,"day7","Week 2","feces","cef","M",241,"none","none"
"241-2-d7-No-fe",-0.801588725898915,-0.0373102801413517,2,"day7","Week 2","feces","cef","M",241,"none","none"
"241-3-d7-No-fe",-0.741292521193783,0.0790971879412542,3,"day7","Week 2","feces","cef","M",241,"none","none"
"241-4-d7-No-fe",-0.678168973155875,0.114869049573446,4,"day7","Week 2","feces","cef","M",241,"none","none"
"242-1-d7-Cd-fe",0.43537932814463,-0.244167328816369,1,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
"242-2-d7-Cd-fe",0.288024605024654,-0.369217913709199,2,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
"242-3-d7-Cd-fe",0.0672664169047004,-0.871391629186729,3,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
"242-4-d7-Cd-fe",0.348427728357616,-0.208921839891123,4,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
"243-1-d7-La-fe",0.17997365630912,0.0655256979281286,1,"day7","Week 2","feces","la","M",243,"none","positive"
"243-2-d7-La-fe",-0.0389313494873609,-0.494260682536125,2,"day7","Week 2","feces","la","M",243,"none","positive"
"243-3-d7-La-fe",0.0280636137301742,0.106564387118804,3,"day7","Week 2","feces","la","M",243,"none","positive"
"244-1-d7-Lg-fe",0.233094362033794,0.394999203531558,1,"day7","Week 2","feces","lg","M",244,"positive","none"
"244-2-d7-Lg-fe",0.388218378827105,0.562415372882821,2,"day7","Week 2","feces","lg","M",244,"positive","none"
"244-3-d7-Lg-fe",0.488171787746723,0.288391490521465,3,"day7","Week 2","feces","lg","M",244,"positive","none"
"244-4-d7-La-fe",0.276230118451211,0.146081922982102,4,"day7","Week 2","feces","la","M",243,"none","positive"
"244-4-d7-Lg-fe",0.280683599995576,0.268087316777212,4,"day7","Week 2","feces","lg","M",244,"positive","none"
"245-1-d14-No-fe",-0.68589144547185,-0.21675196637256,1,"day14","Week 3","feces","cef","M",245,"none","none"
"245-2-d14-No-fe",-0.726487978327119,-0.151545569896836,2,"day14","Week 3","feces","cef","M",245,"none","none"
"245-3-d14-No-fe",-0.724018839270613,-0.159550264199718,3,"day14","Week 3","feces","cef","M",245,"none","none"
"245-4-d14-No-fe",-0.696038922677683,-0.136405100473476,4,"day14","Week 3","feces","cef","M",245,"none","none"
"246-1-d14-Cd-fe",-0.55356081986638,0.389832877783997,1,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"246-2-d14-Cd-fe",-0.468221074219476,0.337820929154646,2,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"246-3-d14-Cd-fe",-0.487151869772546,0.377215714353506,3,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"246-4-d14-Cd-fe",-0.337632435509219,0.274922640335215,4,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"247-1-d14-La-fe",-0.274086092229837,-0.254983914512663,1,"day14","Week 3","feces","la","M",247,"none","positive"
"247-2-d14-La-fe",-0.290629881356212,-0.0912612586819455,2,"day14","Week 3","feces","la","M",247,"none","positive"
"247-3-d14-La-fe",-0.27900926110634,-0.191318471628773,3,"day14","Week 3","feces","la","M",247,"none","positive"
"247-4-d14-La-fe",-0.295670352199577,-0.162568827571641,4,"day14","Week 3","feces","la","M",247,"none","positive"
"248-1-d14-Lg-fe",1.5151139621703,0.0755098142094964,1,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-2-d14-Lg-fe",1.47256021690394,-0.0623841706495772,2,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-3-d14-Lg-fe",1.44253605988092,0.00993405920681572,3,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-4-d14-Lg-fe",1.38818873305169,-0.0384664910564866,4,"day14","Week 3","feces","lg","M",248,"positive","none"
"249-1-d21-No-fe",-0.151104583705696,-0.598043453669353,1,"day21","Week 4","feces","cef","M",249,"none","none"
"249-2-d21-No-fe",0.29318150893889,-0.409193818309013,2,"day21","Week 4","feces","cef","M",249,"none","none"
"249-3-d21-No-fe",0.193398670365811,-0.474723293505761,3,"day21","Week 4","feces","cef","M",249,"none","none"
"249-4-d21-No-fe",-0.0763960496877288,-0.572497456913204,4,"day21","Week 4","feces","cef","M",249,"none","none"
"250-1-d21-Cd-fe",0.322487241610294,0.0125480226321264,1,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-2-d21-Cd-fe",0.0959120635058161,0.191325255276257,2,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-3-d21-Cd-fe",0.0407478948766272,-0.161405558078622,3,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-4-d21-Cd-fe",0.313374440420462,-0.0174814388871002,4,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"251-1-d21-La-fe",0.252545051314885,0.545347507057041,1,"day21","Week 4","feces","la","M",251,"none","positive"
"251-2-d21-La-fe",0.469602287558234,0.202495870247591,2,"day21","Week 4","feces","la","M",251,"none","positive"
"251-3-d21-La-fe",0.46460761927073,0.28733072906756,3,"day21","Week 4","feces","la","M",251,"none","positive"
"251-4-d21-La-fe",0.324169953433447,0.349339760158103,4,"day21","Week 4","feces","la","M",251,"none","positive"
"252-1-d21-Lg-fe",-0.705302682369005,0.0540584391527959,1,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-2-d21-Lg-fe",-0.65075771284123,0.190435876050453,2,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-3-d21-Lg-fe",-0.532296629166205,0.0968280776896932,3,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-4-d21-Lg-fe",-0.654169073525331,0.303635482031432,4,"day21","Week 4","feces","lg","M",252,"positive","none"
"237-1-d0-No-ce",-0.61351477161851,-0.662603170944703,1,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-2-d0-No-ce",-0.594278466615964,-0.648483982502212,2,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-3-d0-No-ce",-0.402936025158391,-0.823843115864483,3,"day0","Week 1","cecum","cef","M",237,"none","none"
"237-4-d0-No-ce",-0.502315445671545,-0.680210616681466,4,"day0","Week 1","cecum","cef","M",237,"none","none"
"238-1-d0-Cd-ce",-0.490182571975052,0.627641824328696,1,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"238-2-d0-Cd-ce",-0.543370547666437,0.197831595093163,2,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"238-3-d0-Cd-ce",-0.196050545476528,0.732925627104186,3,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"238-4-d0-Cd-ce",-0.509352518796354,0.706656581613049,4,"day0","Week 1","cecum","cdiff","M",238,"negative","negative"
"239-1-d0-La-ce",-0.119980554169975,-0.274598604429006,1,"day0","Week 1","cecum","la","M",239,"none","positive"
"239-2-d0-La-ce",0.040558731934278,-0.116047787738813,2,"day0","Week 1","cecum","la","M",239,"none","positive"
"239-3-d0-La-ce",0.500439275509831,0.473845418090004,3,"day0","Week 1","cecum","la","M",239,"none","positive"
"239-4-d0-La-ce",0.830676623913237,-0.013941997616991,4,"day0","Week 1","cecum","la","M",239,"none","positive"
"240-1-d0-Lg-ce",0.386168021138859,0.62903238287713,1,"day0","Week 1","cecum","lg","M",240,"positive","none"
"240-2-d0-Lg-ce",1.67686122061133,-0.702354731261991,2,"day0","Week 1","cecum","lg","M",240,"positive","none"
"240-3-d0-Lg-ce",0.32306969295347,0.143263716743178,3,"day0","Week 1","cecum","lg","M",240,"positive","none"
"240-4-d0-Lg-ce",0.214207881087751,0.410886861190259,4,"day0","Week 1","cecum","lg","M",240,"positive","none"
"241-1-d7-No-ce",-0.257990886234971,-0.686400490790718,1,"day7","Week 2","cecum","cef","M",241,"none","none"
"241-2-d7-No-ce",-0.363676001014697,-0.70937050737721,2,"day7","Week 2","cecum","cef","M",241,"none","none"
"241-3-d7-No-ce",-0.43072013147306,-0.673735243364087,3,"day7","Week 2","cecum","cef","M",241,"none","none"
"241-4-d7-No-ce",-0.445443323583463,-0.556943451147293,4,"day7","Week 2","cecum","cef","M",241,"none","none"
"242-1-d7-Cd-ce",1.26630821203625,-0.012963917147193,1,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"242-2-d7-Cd-ce",1.08952784590591,-0.0329962729231115,2,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"242-3-d7-Cd-ce",1.17596328419664,0.048463918915809,3,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"242-4-d7-Cd-ce",1.18382797970271,-0.0251566849718806,4,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"243-1-d7-La-ce",-0.415078215866408,0.0315290626134847,1,"day7","Week 2","cecum","la","M",243,"none","positive"
"243-2-d7-La-ce",-0.455637831052948,0.184589368923071,2,"day7","Week 2","cecum","la","M",243,"none","positive"
"243-3-d7-La-ce",-0.454523907375393,-0.00501055446308733,3,"day7","Week 2","cecum","la","M",243,"none","positive"
"244-1-d7-Lg-ce",-0.354092125881214,0.825465020048995,1,"day7","Week 2","cecum","lg","M",244,"positive","none"
"244-2-d7-Lg-ce",-0.262705109811121,0.627944819915429,2,"day7","Week 2","cecum","lg","M",244,"positive","none"
"244-3-d7-Lg-ce",-0.377088380799621,0.403799660205126,3,"day7","Week 2","cecum","lg","M",244,"positive","none"
"244-4-d7-La-ce",-0.489922011408472,0.078275503474575,4,"day7","Week 2","cecum","la","M",243,"none","positive"
"244-4-d7-Lg-ce",-0.408749397340132,0.502509768088091,4,"day7","Week 2","cecum","lg","M",244,"positive","none"
"245-1-d14-No-ce",-0.48589893610083,0.122383416795878,1,"day14","Week 3","cecum","cef","M",245,"none","none"
"245-2-d14-No-ce",-0.668977953583895,-0.106461603796004,2,"day14","Week 3","cecum","cef","M",245,"none","none"
"245-3-d14-No-ce",-0.587051440085296,-0.23547226626438,3,"day14","Week 3","cecum","cef","M",245,"none","none"
"245-4-d14-No-ce",-0.656726843877106,-0.336072251552764,4,"day14","Week 3","cecum","cef","M",245,"none","none"
"246-1-d14-Cd-ce",-0.366882522635998,-0.324448846104067,1,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"246-2-d14-Cd-ce",-0.363903138066054,-0.0492268139908395,2,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"246-3-d14-Cd-ce",-0.432912955247357,-0.726505051017335,3,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"246-4-d14-Cd-ce",-0.397590062910539,-0.591741336428561,4,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"247-1-d14-La-ce",-0.308022296195348,0.581943692708947,1,"day14","Week 3","cecum","la","M",247,"none","positive"
"247-2-d14-La-ce",-0.31657097567775,0.582639623541448,2,"day14","Week 3","cecum","la","M",247,"none","positive"
"247-3-d14-La-ce",-0.226506680715723,0.732455208948523,3,"day14","Week 3","cecum","la","M",247,"none","positive"
"247-4-d14-La-ce",-0.289769416378878,0.634141084107804,4,"day14","Week 3","cecum","la","M",247,"none","positive"
"248-1-d14-Lg-ce",1.2618544697775,-0.153214434279278,1,"day14","Week 3","cecum","lg","M",248,"positive","none"
"248-2-d14-Lg-ce",1.25412333398646,-0.103244536008524,2,"day14","Week 3","cecum","lg","M",248,"positive","none"
"248-3-d14-Lg-ce",1.34999304873929,0.106850696534752,3,"day14","Week 3","cecum","lg","M",248,"positive","none"
"248-4-d14-Lg-ce",1.23484236897154,-0.134026583195601,4,"day14","Week 3","cecum","lg","M",248,"positive","none"
"249-1-d21-No-ce",-0.0955752612160621,-0.450605309731774,1,"day21","Week 4","cecum","cef","M",249,"none","none"
"249-2-d21-No-ce",-0.118718957297007,-0.464749982626494,2,"day21","Week 4","cecum","cef","M",249,"none","none"
"249-3-d21-No-ce",-0.132688929195323,-0.426260226018447,3,"day21","Week 4","cecum","cef","M",249,"none","none"
"249-4-d21-No-ce",-0.136862710180834,-0.44352935584673,4,"day21","Week 4","cecum","cef","M",249,"none","none"
"250-1-d21-Cd-ce",-0.233707836100974,0.28710495425422,1,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"250-2-d21-Cd-ce",-0.168432747254776,0.31896942305002,2,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"250-3-d21-Cd-ce",-0.157809600958611,0.322738612454041,3,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"250-4-d21-Cd-ce",-0.0891736811689681,0.548599331787763,4,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"251-1-d21-La-ce",-0.428034232847281,0.00233467063049751,1,"day21","Week 4","cecum","la","M",251,"none","positive"
"251-2-d21-La-ce",-0.3929625289278,0.0686635188252293,2,"day21","Week 4","cecum","la","M",251,"none","positive"
"251-3-d21-La-ce",-0.408519624807563,0.100885367060848,3,"day21","Week 4","cecum","la","M",251,"none","positive"
"251-4-d21-La-ce",0.0562743703083123,-0.00352653023225846,4,"day21","Week 4","cecum","la","M",251,"none","positive"
"252-1-d21-Lg-ce",0.387050308837692,-0.00897688677001159,1,"day21","Week 4","cecum","lg","M",252,"positive","none"
"252-2-d21-Lg-ce",0.387754449866718,0.0904260434608237,2,"day21","Week 4","cecum","lg","M",252,"positive","none"
"252-3-d21-Lg-ce",0.396233123857834,0.0308279510350147,3,"day21","Week 4","cecum","lg","M",252,"positive","none"
"252-4-d21-Lg-ce",1.13517385708464,0.0270984186672569,4,"day21","Week 4","cecum","lg","M",252,"positive","none"
"237-1-d0-No-il",-0.516263231416515,-0.232424232177072,1,"day0","Week 1","ileum","cef","M",237,"none","none"
"237-2-d0-No-il",-0.962429143672136,-0.166393658049831,2,"day0","Week 1","ileum","cef","M",237,"none","none"
"237-3-d0-No-il",-0.598384450492994,-0.220514793177286,3,"day0","Week 1","ileum","cef","M",237,"none","none"
"237-4-d0-No-il",-1.06566858919863,-0.21996544004159,4,"day0","Week 1","ileum","cef","M",237,"none","none"
"238-1-d0-Cd-il",0.423554452637495,-0.264105639592287,1,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"238-2-d0-Cd-il",0.480548172945755,-0.348759485847286,2,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"238-3-d0-Cd-il",-0.0138591174530962,-0.0426574389576168,3,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"238-4-d0-Cd-il",0.458792815679094,-0.0840043825079087,4,"day0","Week 1","ileum","cdiff","M",238,"negative","negative"
"239-1-d0-La-il",0.469902034490253,-0.208218373696864,1,"day0","Week 1","ileum","la","M",239,"none","positive"
"239-2-d0-La-il",0.396556490463699,-0.22279425357492,2,"day0","Week 1","ileum","la","M",239,"none","positive"
"239-3-d0-La-il",-0.205992781826482,0.779806509005035,3,"day0","Week 1","ileum","la","M",239,"none","positive"
"239-4-d0-La-il",0.0384612797082327,0.363762142742892,4,"day0","Week 1","ileum","la","M",239,"none","positive"
"240-1-d0-Lg-il",-0.0423892631106914,0.705243840582301,1,"day0","Week 1","ileum","lg","M",240,"positive","none"
"240-2-d0-Lg-il",0.397618670373368,0.0274331388323334,2,"day0","Week 1","ileum","lg","M",240,"positive","none"
"240-3-d0-Lg-il",0.28106837597565,0.217090642715227,3,"day0","Week 1","ileum","lg","M",240,"positive","none"
"240-4-d0-Lg-il",0.458484284897003,-0.0834985762551267,4,"day0","Week 1","ileum","lg","M",240,"positive","none"
"241-1-d7-No-il",-0.252133335260755,-0.441775284495721,1,"day7","Week 2","ileum","cef","M",241,"none","none"
"241-2-d7-No-il",-0.164901853468225,-0.112580545115453,2,"day7","Week 2","ileum","cef","M",241,"none","none"
"241-3-d7-No-il",-0.278148688719005,-0.670988024603127,3,"day7","Week 2","ileum","cef","M",241,"none","none"
"241-4-d7-No-il",-0.289960846309159,-0.110173904778944,4,"day7","Week 2","ileum","cef","M",241,"none","none"
"242-1-d7-Cd-il",-1.03093120216399,0.315397188022075,1,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"242-2-d7-Cd-il",-0.765647384877019,-0.0324922309800618,2,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"242-3-d7-Cd-il",-0.63889627140614,0.289036156181745,3,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"242-4-d7-Cd-il",-0.615737499476508,0.68833361021008,4,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"243-1-d7-La-il",0.733283699054181,0.127478182053147,1,"day7","Week 2","ileum","la","M",243,"none","positive"
"243-2-d7-La-il",1.21067857765095,0.594264356349266,2,"day7","Week 2","ileum","la","M",243,"none","positive"
"243-3-d7-La-il",0.578733878834322,0.178676673052095,3,"day7","Week 2","ileum","la","M",243,"none","positive"
"244-1-d7-Lg-il",-0.115300113831853,0.567949401015352,1,"day7","Week 2","ileum","lg","M",244,"positive","none"
"244-2-d7-Lg-il",0.203872882292932,-0.420340232805711,2,"day7","Week 2","ileum","lg","M",244,"positive","none"
"244-3-d7-Lg-il",0.438998621377964,-0.598596275404136,3,"day7","Week 2","ileum","lg","M",244,"positive","none"
"244-4-d7-La-il",0.841804387815904,0.160349702345866,4,"day7","Week 2","ileum","la","M",243,"none","positive"
"244-4-d7-Lg-il",0.144285148486404,-0.534538771046474,4,"day7","Week 2","ileum","lg","M",244,"positive","none"
"245-1-d14-No-il",-0.558870789466056,-0.897799077865945,1,"day14","Week 3","ileum","cef","M",245,"none","none"
"245-2-d14-No-il",-1.61393797135029,-0.442344327098109,2,"day14","Week 3","ileum","cef","M",245,"none","none"
"245-3-d14-No-il",-0.49324886148837,-1.09003581699729,3,"day14","Week 3","ileum","cef","M",245,"none","none"
"245-4-d14-No-il",-1.55668923169503,-1.08286796148314,4,"day14","Week 3","ileum","cef","M",245,"none","none"
"246-1-d14-Cd-il",-0.88209182937825,0.550690046833849,1,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"246-2-d14-Cd-il",-0.803287240965657,0.796373826594122,2,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"246-3-d14-Cd-il",-0.00885823338160794,-1.07557121071171,3,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"246-4-d14-Cd-il",-0.832957091001269,0.937294432273925,4,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"247-1-d14-La-il",-0.393629234280883,0.158653560940878,1,"day14","Week 3","ileum","la","M",247,"none","positive"
"247-2-d14-La-il",-0.789769718187486,0.447710797428488,2,"day14","Week 3","ileum","la","M",247,"none","positive"
"247-3-d14-La-il",-0.76856850461391,0.894616860990835,3,"day14","Week 3","ileum","la","M",247,"none","positive"
"247-4-d14-La-il",-0.766695888421326,1.00287419280017,4,"day14","Week 3","ileum","la","M",247,"none","positive"
"248-1-d14-Lg-il",2.58043038133619,0.746632795536845,1,"day14","Week 3","ileum","lg","M",248,"positive","none"
"248-2-d14-Lg-il",2.29698408568785,-0.196978686604147,2,"day14","Week 3","ileum","lg","M",248,"positive","none"
"248-3-d14-Lg-il",1.82217222163041,-0.982924403086465,3,"day14","Week 3","ileum","lg","M",248,"positive","none"
"248-4-d14-Lg-il",2.76901790557569,0.233674970447687,4,"day14","Week 3","ileum","lg","M",248,"positive","none"
"249-1-d21-No-il",-0.750776797131937,-0.659935897108129,1,"day21","Week 4","ileum","cef","M",249,"none","none"
"249-2-d21-No-il",0.00807426113598376,-0.335790550925751,2,"day21","Week 4","ileum","cef","M",249,"none","none"
"249-3-d21-No-il",0.657929586006611,-0.426481931527638,3,"day21","Week 4","ileum","cef","M",249,"none","none"
"249-4-d21-No-il",0.62970319635427,-0.435093316930463,4,"day21","Week 4","ileum","cef","M",249,"none","none"
"250-1-d21-Cd-il",-0.45420833852866,0.277710415247279,1,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"250-2-d21-Cd-il",-0.862221825793911,0.37152669558704,2,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"250-3-d21-Cd-il",0.21167315058157,0.127465894102443,3,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"250-4-d21-Cd-il",-0.566435806062846,0.348127426548977,4,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"251-1-d21-La-il",-0.953068361866788,-0.106296315818198,1,"day21","Week 4","ileum","la","M",251,"none","positive"
"251-2-d21-La-il",-0.404573726025157,-0.0933004334637557,2,"day21","Week 4","ileum","la","M",251,"none","positive"
"251-3-d21-La-il",0.988926184227394,-0.174816289069656,3,"day21","Week 4","ileum","la","M",251,"none","positive"
"251-4-d21-La-il",-0.687067338241946,-0.195138935067392,4,"day21","Week 4","ileum","la","M",251,"none","positive"
"252-1-d21-Lg-il",0.5703776674187,0.20535488075358,1,"day21","Week 4","ileum","lg","M",252,"positive","none"
"252-2-d21-Lg-il",0.667949714607354,0.244185006909203,2,"day21","Week 4","ileum","lg","M",252,"positive","none"
"252-3-d21-Lg-il",0.158133187632338,0.592348443653174,3,"day21","Week 4","ileum","lg","M",252,"positive","none"
"252-4-d21-Lg-il",0.785585245687025,0.260134907109285,4,"day21","Week 4","ileum","lg","M",252,"positive","none"
